ID,state
0,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
1,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
2,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
3,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
4,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
5,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
6,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
7,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
8,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
9,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
10,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
11,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
12,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
13,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
14,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
15,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
16,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
17,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
18,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
19,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
20,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
21,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
22,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
23,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
24,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
25,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
26,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
27,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
28,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
29,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
30,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
31,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
32,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
33,Prosurvival_b2 -- Prosurvival_b1 -- Prosurvival_b3
